t_days,t_months,r,C,B,F_i,F_n,F_m,E,M,O
30,0.9855453351,0.25,1.965445675,0.09104473661,0.7210168849,0.7865268341,0.005071668212,0.09336217666,0.9970408057,0.2693071964
30,0.9855453351,0.297979798,1.964969923,0.09104466901,0.7210168179,0.7865268399,0.005071719994,0.09336207679,0.9970407933,0.2692994436
30,0.9855453351,0.345959596,1.964626045,0.09104455819,0.7210168347,0.7865268521,0.005071720477,0.09336200438,0.9970407844,0.2692983032
30,0.9855453351,0.3939393939,1.964365595,0.09104442276,0.721016857,0.7865268693,0.005071718155,0.09336194953,0.9970407776,0.2692987965
30,0.9855453351,0.4419191919,1.964161531,0.09104427669,0.721016882,0.7865268908,0.005071715391,0.09336190656,0.9970407723,0.2692996591
30,0.9855453351,0.4898989899,1.963997352,0.09104412946,0.72101691,0.7865269162,0.005071712536,0.09336187198,0.997040768,0.2693006366
30,0.9855453351,0.5378787879,1.963862421,0.09104398656,0.7210169412,0.7865269453,0.005071709721,0.09336184356,0.9970407645,0.2693017106
30,0.9855453351,0.5858585859,1.963749573,0.09104385045,0.7210169756,0.7865269777,0.005071707016,0.09336181977,0.9970407616,0.2693028956
30,0.9855453351,0.6338383838,1.963653808,0.09104372156,0.7210170136,0.7865270135,0.005071704459,0.09336179958,0.9970407591,0.2693041995
30,0.9855453351,0.6818181818,1.963571528,0.0910435992,0.721017055,0.7865270526,0.005071702077,0.09336178222,0.9970407569,0.2693056231
30,0.9855453351,0.7297979798,1.963500081,0.09104348223,0.7210171001,0.7865270949,0.00507169989,0.09336176713,0.9970407551,0.2693071645
30,0.9855453351,0.7777777778,1.963437467,0.09104336938,0.7210171487,0.7865271404,0.005071697909,0.09336175389,0.9970407534,0.2693088211
30,0.9855453351,0.8257575758,1.96338215,0.0910432595,0.721017201,0.7865271891,0.005071696147,0.09336174217,0.997040752,0.2693105919
30,0.9855453351,0.8737373737,1.963332933,0.09104315159,0.721017257,0.786527241,0.00507169461,0.09336173173,0.9970407507,0.269312476
30,0.9855453351,0.9217171717,1.963288866,0.09104304483,0.7210173166,0.786527296,0.005071693302,0.09336172237,0.9970407495,0.269314472
