t_days,t_months,P,CO2,r_agg,C_total,B_total,F_i_total,F_n_total,F_m_total,E_total,M_total,C_agg,B_agg,F_i_agg,F_n_agg,F_m_agg,E_agg,M_agg
0,0,1000,0,0,5.311117182,0.05311117182,0,0.005311117182,0.0005311117182,0,0,0,0,0,0,0,0,0
0.5,0.01642575558,999.9862615,0.02513557148,0,4.929875086,0.05514772202,0.0005058220323,0.004811854256,0.002061895401,0.0005677764425,0.365703373,0,0,0,0,0,0,0
1,0.03285151117,999.9713561,0.05057037766,0,4.57573493,0.05672810562,0.0009645654426,0.004365271465,0.003403293549,0.001040954609,0.7059069794,0,0,0,0,0,0,0
1.5,0.04927726675,999.9549739,0.07584032588,0,4.247015868,0.05812172886,0.00138087792,0.003964596536,0.004579153462,0.00147392564,1.022720206,0,0,0,0,0,0,0
2,0.06570302234,999.9367611,0.1007803097,0,3.941989388,0.05938603552,0.001759197789,0.003603818795,0.005611360893,0.001877641968,1.318301681,0,0,0,0,0,0,0
2.5,0.08212877792,999.9162441,0.1252877773,0,3.659569235,0.06052718651,0.002102855152,0.003278492013,0.006516603646,0.002252689896,1.594291688,0,0,0,0,0,0,0
3,0.09855453351,999.8928347,0.1492791827,0,3.398751918,0.06154296472,0.002415087915,0.002984563201,0.007310392371,0.002598114083,1.852353669,0,0,0,0,0,0,0
3.5,0.1149802891,999.8658119,0.1726805679,0,3.158716248,0.06243209208,0.002698919948,0.00271843867,0.008006676811,0.002913335677,2.09409238,0,0,0,0,0,0,0
4,0.1314060447,999.8342501,0.1954197039,0,2.93908206,0.06319559493,0.002956884906,0.002477192759,0.008617021796,0.003198404493,2.320873588,0,0,0,0,0,0,0
4.5,0.1478318003,999.7970134,0.2174296253,0,2.739794231,0.06383879497,0.003191243313,0.002258304121,0.009151494526,0.003454462362,2.533939036,0,0,0,0,0,0,0
5,0.1642575558,999.7527846,0.2386521652,0,2.561040552,0.06437268926,0.003404069097,0.00205953791,0.009619053756,0.003684083512,2.734453796,0,0,0,0,0,0,0
5.5,0.1806833114,999.7001704,0.2590414512,0,2.403129287,0.06481524563,0.003597275403,0.001878896681,0.01002769795,0.003891603824,2.923518755,0,0,0,0,0,0,0
6,0.197109067,999.6380162,0.2785740823,0,2.266074679,0.06519343993,0.003772749922,0.00171447667,0.01038493009,0.004083640826,3.10225642,0,0,0,0,0,0,0
6.5,0.2135348226,999.5654393,0.2972345935,0,2.149805134,0.06554344508,0.003932022674,0.001564755116,0.01069682864,0.004269170941,3.271585355,0,0,0,0,0,0,0
7,0.2299605782,999.4821633,0.3150273998,0,2.053691609,0.06591543235,0.004076473214,0.001428385535,0.01096873728,0.004460758533,3.432338488,0,0,0,0,0,0,0
8,0.2628120894,999.2859655,0.3481797521,0.3939393939,1.915878196,0.06702762715,0.004325967735,0.001190876789,0.01141137027,0.004939053142,3.731152289,0.1512485126,0.0008222671001,2.093138792e-06,5.783953992e-07,5.800138247e-06,0.0002032666083,0.0154275481
